function,module,link,has_spec,has_proof
& 'a AffineNielsPoint::neg,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L1706,yes,
& 'a EdwardsBasepointTable::mul,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L3585,yes,yes
& 'a EdwardsPoint::add,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L925,yes,yes
& 'a EdwardsPoint::add,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L1314,yes,yes
& 'a EdwardsPoint::add,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1992,yes,yes
& 'a EdwardsPoint::mul,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2519,yes,yes
& 'a EdwardsPoint::neg,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2364,yes,yes
& 'a EdwardsPoint::sub,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L1127,yes,yes
& 'a EdwardsPoint::sub,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L1486,yes,yes
& 'a EdwardsPoint::sub,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2115,yes,yes
& 'a ProjectiveNielsPoint::neg,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L1644,yes,
& 'a RistrettoBasepointTable::mul,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L2224,yes,yes
& 'a RistrettoPoint::add,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1550,yes,yes
& 'a RistrettoPoint::mul,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1870,yes,yes
& 'a RistrettoPoint::neg,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1813,yes,yes
& 'a RistrettoPoint::sub,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1604,yes,yes
& 'a Scalar::mul,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2542,yes,yes
& 'a Scalar::mul,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1891,yes,yes
