function,module,impl_block
lemma_from_u8_32_as_nat_01234(),curve25519-dalek::lemmas::field_lemmas::from_bytes_lemmas,
lemma_cancel_mul_pow2_mod(),curve25519-dalek::lemmas::scalar_lemmas,
sum_of_ristretto_points(),curve25519-dalek::specs::iterator_specs,
lemma_words_as_nat_upper_bound(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
spec_add_fe51_limbs(),curve25519-dalek::specs::field_specs,
lemma_load8_shift_mod(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
VartimeMultiscalarMul::optional_multiscalar_mul(),curve25519-dalek::traits,
lemma_binomial_factorial_relation(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_reconstruct_radix16_even_odd(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_multiply_by_base_power_addition(),curve25519-dalek::lemmas::field_lemmas::invert_lemmas,
lemma_rec_suffix_divisible(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_pow_mod_composition(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
lemma_even_sum_up_to_step_even(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_binomial_absorption_factorial(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
test_part1_wrapping_mul_equivalence(),curve25519-dalek::backend::serial::u64::scalar::test,
lemma_limbs_bounded_implies_prod_bounded(),curve25519-dalek::lemmas::scalar_lemmas,
RistrettoPoint::from_hash_verus(),curve25519-dalek::RistrettoPoint<[u8;::ristretto,
field_inv_unique(),curve25519-dalek::specs::field_specs,
RistrettoPoint::elligator_ristretto_flavor(),curve25519-dalek::ristretto,
pow256(),curve25519-dalek::specs::edwards_specs,
a1_1_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
Scalar::as_radix_16(),curve25519-dalek::&Scalar#Scalar<[i8;::scalar,
unwrap_points(),curve25519-dalek::specs::iterator_specs,
lemma_montgomery_reduce_cancels_r(),curve25519-dalek::lemmas::scalar_lemmas_extra,
choice_is_true(),curve25519-dalek::backend::serial::u64::subtle_assumes,
seq_sum(),curve25519-dalek::lemmas::common_lemmas::sum_lemmas,
lemma_add_projective_niels_completed_valid(),curve25519-dalek::lemmas::edwards_lemmas::niels_addition_correctness,
spec_ristretto_decompress(),curve25519-dalek::specs::ristretto_specs,
lemma_field_mul_one_left(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_limb4_contribution_correctness_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
Scalar::zeroize(),curve25519-dalek::scalar,
axiom_edwards_to_montgomery_correspondence(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_u8_32_as_nat_rec_bound(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
test_montgomery_a_neg_value(),curve25519-dalek::lemmas::montgomery_curve_lemmas::test_qr_axioms,
montgomery_u_from_edwards_y(),curve25519-dalek::specs::montgomery_specs,
u8_32_as_nat_exec(),curve25519-dalek::backend::serial::u64::scalar::test,
lemma_cancel_mul_montgomery_mod(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_invert_chain(),curve25519-dalek::lemmas::scalar_batch_invert_lemmas,
lemma_xdbl_degenerate_gives_w_zero(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
sum_of_scalar_muls(),curve25519-dalek::specs::edwards_specs,
lemma_neg(),curve25519-dalek::lemmas::field_lemmas::negate_lemmas,
edwards_scalar_mul_signed(),curve25519-dalek::specs::edwards_specs,
axiom_xdbl_projective_correct(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
pow2_mul_div_mod_small_mod_u8_t51_cond(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
CompressedRistretto::fmt(),curve25519-dalek::ristretto,
spec_elligator_ristretto_flavor(),curve25519-dalek::specs::ristretto_specs,
is_valid_projective_niels_point(),curve25519-dalek::specs::edwards_specs,
lemma_edwards_scalar_mul_pow2_succ(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
